epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,1283.41,0.95016,0.52545,1.04291,0.93618,0.91699,0.96185,0.68956,1.09032,0.55008,1.04983,0.0008714,0.0008714,0.0008714
59,1305.05,0.94956,0.51708,1.04726,1,0.93144,0.96343,0.68248,1.14757,0.57226,1.06925,0.0008516,0.0008516,0.0008516
60,1326.58,0.95298,0.52897,1.03863,0.9262,0.875,0.94402,0.6854,1.09743,0.60318,1.05262,0.0008318,0.0008318,0.0008318
61,1348.34,0.95704,0.51652,1.05463,0.90584,0.9375,0.94438,0.68252,1.10619,0.60258,1.05064,0.000812,0.000812,0.000812
62,1369.91,0.92283,0.49883,1.03193,0.87883,0.9375,0.93351,0.66285,1.18422,0.60799,1.07873,0.0007922,0.0007922,0.0007922
63,1391.27,0.96258,0.52098,1.05277,0.96376,0.90625,0.93436,0.67661,1.13617,0.60787,1.05329,0.0007724,0.0007724,0.0007724
64,1414.23,0.93074,0.49644,1.03587,0.90172,0.86045,0.92134,0.63488,1.15195,0.67916,1.07102,0.0007526,0.0007526,0.0007526
65,1436.61,0.93182,0.50483,1.02909,0.99321,0.875,0.95234,0.66515,1.15274,0.67262,1.08242,0.0007328,0.0007328,0.0007328
66,1458.96,0.92582,0.50024,1.02317,0.97574,0.875,0.95879,0.65154,1.15575,0.58647,1.08329,0.000713,0.000713,0.000713
67,1481.14,0.91377,0.50406,1.03297,0.87775,0.89766,0.93446,0.67282,1.1391,0.61525,1.06193,0.0006932,0.0006932,0.0006932
68,1502.91,0.9115,0.48968,1.02466,1,0.93265,0.95652,0.68877,1.12931,0.58645,1.03693,0.0006734,0.0006734,0.0006734
69,1524.5,0.90504,0.49041,1.01876,0.91154,0.96875,0.96238,0.67417,1.10727,0.55232,1.03501,0.0006536,0.0006536,0.0006536
70,1546.1,0.91323,0.50003,1.03159,0.93685,0.92737,0.95646,0.66858,1.14486,0.56577,1.06885,0.0006338,0.0006338,0.0006338
71,1567.89,0.897,0.48878,1.02139,0.95841,0.90625,0.95569,0.66123,1.13181,0.57319,1.05551,0.000614,0.000614,0.000614
72,1589.33,0.91958,0.47927,1.02751,0.87962,0.91352,0.94387,0.6603,1.1735,0.60068,1.07891,0.0005942,0.0005942,0.0005942
73,1610.75,0.91588,0.4885,1.02568,0.99452,0.875,0.95921,0.65115,1.18894,0.61156,1.07501,0.0005744,0.0005744,0.0005744
74,1632.39,0.90228,0.48071,1.01094,1,0.83769,0.95001,0.64472,1.23921,0.70204,1.12231,0.0005546,0.0005546,0.0005546
75,1654.21,0.88494,0.47007,1.02307,0.93535,0.90425,0.95883,0.67059,1.15331,0.5653,1.06225,0.0005348,0.0005348,0.0005348
76,1675.79,0.90272,0.47053,1.01431,0.93082,0.84097,0.9419,0.65516,1.17915,0.67828,1.10196,0.000515,0.000515,0.000515
77,1697.44,0.89324,0.47423,1.01423,0.96751,0.93067,0.964,0.66897,1.1611,0.59342,1.07971,0.0004952,0.0004952,0.0004952
78,1719.08,0.86784,0.45878,1.00507,0.93696,0.92908,0.95762,0.66773,1.22119,0.55864,1.11352,0.0004754,0.0004754,0.0004754
79,1741.55,0.86162,0.45432,0.99906,0.93884,0.95967,0.958,0.66213,1.16775,0.55671,1.06961,0.0004556,0.0004556,0.0004556
80,1763.84,0.86107,0.45865,1.00058,1,0.93244,0.96729,0.66437,1.1665,0.53362,1.07992,0.0004358,0.0004358,0.0004358
81,1786.28,0.86916,0.46311,0.99506,0.96739,0.92739,0.961,0.64425,1.20706,0.54539,1.06643,0.000416,0.000416,0.000416
82,1807.87,0.85325,0.4472,0.9998,0.91998,0.9375,0.95845,0.65975,1.16531,0.59775,1.05802,0.0003962,0.0003962,0.0003962
83,1829.56,0.85688,0.44807,1.0033,0.99169,0.84375,0.94931,0.65294,1.207,0.59855,1.08998,0.0003764,0.0003764,0.0003764
84,1851.04,0.88014,0.46155,1.00604,0.90244,0.90625,0.93773,0.66217,1.15532,0.57765,1.06841,0.0003566,0.0003566,0.0003566
